"ID","CANON","DAMAGE PER SECOND","HITPOINTS","DAMAGE TYPE","RANGE","TARGET","STATUS"
"a071500000Zk6hsAAB","Level-1","9","420","Single Target","9","Ground ","Item Created"
"a071500000Zk6htAAB","Level-2","11","460","Single Target","9","Ground ","Item Created"
"a071500000Zk6huAAB","Level-3","15","500","Single Target","9","Ground ","Item Created"
"a071500000Zk6hvAAB","Level-4","19","540","Single Target","9","Ground ","Item Created"
"a071500000Zk6hwAAB","Level-5","25","580","Single Target","9","Ground ","Item Created"
"a071500000Zk6hxAAB","Level-6","30","630","Single Target","9","Ground ","Item Created"
"a071500000Zk6hyAAB","Level-7","42","690","Single Target","9","Ground ","Item Created"
"a071500000Zk6hzAAB","Level-8","48","750","Single Target","9","Ground ","Item Created"
"a071500000Zk6i0AAB","Level-9","56","810","Single Target","9","Ground ","Item Created"
"a071500000Zk6i1AAB","Level-10","65","890","Single Target","9","Ground ","Item Created"
"a071500000Zk6i2AAB","Level-11","75","970","Single Target","9","Ground ","Item Created"
"a071500000Zk6i3AAB","Level-12","86","1050","Single Target","9","Ground ","Item Created"
"a071500000Zk6i4AAB","Level-13","98","1260","Single Target","9","Ground ","Item Created"
